X,Y
7.646642025214007390e+02,5.171950001444563441e+02
7.632890747923936487e+02,5.127496367203220871e+02
7.610837059429228475e+02,5.118408685204796598e+02
7.594144424546841492e+02,5.043117481304290664e+02
7.579026642286960396e+02,5.042007983794591155e+02
7.569846298307666075e+02,5.007199387618708784e+02
7.556775031304180175e+02,5.013077621431141324e+02
7.537703457881657414e+02,4.989646728489128691e+02
7.523357954279229034e+02,5.020144526697263814e+02
7.517244079357644750e+02,5.045316463577011064e+02
7.509550896999051020e+02,5.155496744258189210e+02
7.501200459396171709e+02,5.216856725128839116e+02
7.493304492695031058e+02,5.333258825333898585e+02
7.485248407657752523e+02,5.380234668105611036e+02
7.478655749431093227e+02,5.457704754812136798e+02
7.471836675912406918e+02,5.474675171910846529e+02
7.467498439875951135e+02,5.553466897222107264e+02
7.469261719035449687e+02,5.559372110381618768e+02
7.464501184560660931e+02,5.577584983234921765e+02
7.462679501487643847e+02,5.540054349601914510e+02
7.455963971260196104e+02,5.478184864422992177e+02
7.448035056189000898e+02,5.409620946324713486e+02
7.440598139256610466e+02,5.325969155089459264e+02
7.435400325226464702e+02,5.208970518849882865e+02
7.420646419109523322e+02,5.127806812099282752e+02
7.409772764944644905e+02,4.999930723604226728e+02
7.396785169518079783e+02,4.913266010420537100e+02
7.387007264948813372e+02,4.895012729762177059e+02
7.381499155319847887e+02,4.919884970543897111e+02
7.376588786905901998e+02,4.979000790426460981e+02
7.372029002099448007e+02,5.061564252725142410e+02
7.367942070594863253e+02,5.091116165713228270e+02
7.366189459833169622e+02,5.153162938050177218e+02
7.366684718418241573e+02,5.221953288654419794e+02
7.370872708810760514e+02,5.364677053296718441e+02
7.375104517087115710e+02,5.543467563649934391e+02
7.379267361979466386e+02,5.689966849037064094e+02
7.383242933974763673e+02,5.758034230888065395e+02
7.388851213947583574e+02,5.710645448246132219e+02
7.399659927624886677e+02,5.519387117205042159e+02
7.425560514515079831e+02,5.361394382984424283e+02
7.449266917597570909e+02,5.294306669481145491e+02
7.457700885127568426e+02,5.244069633009223708e+02
7.447474519789011538e+02,5.187485836964040118e+02
7.422681143788586269e+02,5.090498100307806340e+02
7.393686189194237386e+02,4.920436330824582569e+02
7.379528042111113564e+02,4.686114784076594901e+02
7.373296100792637162e+02,4.453651794339557455e+02
7.370582252334713758e+02,4.246176656871980413e+02
7.370459474828328439e+02,4.110104543545169236e+02
7.371415438032281600e+02,4.067014853243920811e+02
7.371395234377387169e+02,4.108068455884694004e+02
7.371395234377387169e+02,4.108068455884694004e+02
7.371395234377387169e+02,4.108068455884694004e+02
7.371395234377387169e+02,4.108068455884694004e+02
7.371395234377387169e+02,4.108068455884694004e+02
7.371395234377387169e+02,4.108068455884694004e+02
7.371395234377387169e+02,4.108068455884694004e+02
7.371395234377387169e+02,4.108068455884694004e+02
7.371395234377387169e+02,4.108068455884694004e+02
7.371395234377387169e+02,4.108068455884694004e+02
7.371395234377387169e+02,4.108068455884694004e+02
7.371395234377387169e+02,4.108068455884694004e+02
7.371395234377387169e+02,4.108068455884694004e+02
7.371395234377387169e+02,4.108068455884694004e+02
7.371395234377387169e+02,4.108068455884694004e+02
7.371395234377387169e+02,4.108068455884694004e+02
7.371395234377387169e+02,4.108068455884694004e+02
7.371395234377387169e+02,4.108068455884694004e+02
7.371395234377387169e+02,4.108068455884694004e+02
7.371395234377387169e+02,4.108068455884694004e+02
7.371395234377387169e+02,4.108068455884694004e+02
7.371395234377387169e+02,4.108068455884694004e+02
7.371395234377387169e+02,4.108068455884694004e+02
7.371395234377387169e+02,4.108068455884694004e+02
7.359975470247240992e+02,4.043731701991987961e+02
7.377891138338518431e+02,4.134884080794635111e+02
7.411138053432375727e+02,4.331506712615858419e+02
7.448499178878440716e+02,4.579368744216840241e+02
7.479507427990137103e+02,4.804363911756948937e+02
7.493695714080890866e+02,4.932385951395547181e+02
7.480801080993219330e+02,4.869353159937018631e+02
7.480875703287690612e+02,4.898005646779367908e+02
7.479866120439239694e+02,4.940849127798954328e+02
7.479738953988377261e+02,5.033829426403821685e+02
7.483212419995915070e+02,5.162285252100930393e+02
7.490203799359333061e+02,5.294195227032089406e+02
7.499357155345678621e+02,5.374967371264478970e+02
7.498633684456544870e+02,5.443603955705868884e+02
7.502555249961365007e+02,5.417967564351963574e+02
7.506295643799985555e+02,5.395484317262605600e+02
7.518779949145711043e+02,5.350369541020577344e+02
7.534565496242546487e+02,5.302209731376142372e+02
7.543769395835886371e+02,5.244319002113683155e+02
7.544626439835445808e+02,5.162538724627702322e+02
7.550810945171365347e+02,5.085655695840343924e+02
7.556360859101616825e+02,5.020386191032138754e+02
7.562972142250991965e+02,5.000526688241556030e+02
7.558200196171435437e+02,5.075046543965422075e+02
7.544675571332822983e+02,5.143252686015516701e+02
7.524381961859794501e+02,5.228440209974764912e+02
7.513318940276028570e+02,5.371724422023900161e+02
7.542147548660987013e+02,5.307776222701760389e+02
7.593722867682764672e+02,5.161425722180865705e+02
7.657406231155430305e+02,4.976736096177777426e+02
7.718751312066870014e+02,4.760232903710552819e+02
7.762205746923028755e+02,4.542775773849765528e+02
7.792109752535618554e+02,4.368878784716060864e+02
7.839184544229019593e+02,4.091049134850534301e+02
7.892626015995626858e+02,3.817324429114343047e+02
7.923123258141392853e+02,3.715948318777784039e+02
7.929886317432901706e+02,3.834216338603768008e+02
7.909818790169880458e+02,4.079298169746955409e+02
7.883493075984229108e+02,4.335444220600945755e+02
7.888571102575295981e+02,4.426828479926541604e+02
7.930700073842308484e+02,4.386087482353747191e+02
7.974909846355726586e+02,4.314361487218736215e+02
8.019816232374706715e+02,4.244989028489079601e+02
8.055317002828249997e+02,4.274675729340672774e+02
8.075463355131782919e+02,4.319017607512430459e+02
8.097778648311048073e+02,4.282784681221482401e+02
8.125126856276481249e+02,4.264184254643388954e+02
8.139035954590331130e+02,4.194890418430420027e+02
8.139236253509916423e+02,4.054446204596044936e+02
8.144723385044881070e+02,3.986662757575238061e+02
8.144381850614940959e+02,3.970082898997260372e+02
8.152026129667794976e+02,4.019600513817661067e+02
8.167221980028824646e+02,4.122572666189858523e+02
8.175671982407448013e+02,4.246156215610741356e+02
8.176619301803801818e+02,4.313094783276276871e+02
8.176423691480317757e+02,4.379508722299605097e+02
8.176961719253629326e+02,4.412320075842251299e+02
8.177520894082840641e+02,4.433919088690585113e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.177212602175497977e+02,4.419203466053987199e+02
8.298377654663436260e+02,4.451858795312301140e+02
8.116630075931529973e+02,4.402875801424830797e+02
7.753134918467715124e+02,4.304909813649889543e+02
7.329057234759929997e+02,4.190616161245792455e+02
6.965562077296116286e+02,4.092650173470851769e+02
6.783814498564208861e+02,4.043667179583380857e+02
6.904979551052147144e+02,4.076322508841694798e+02
6.939746561186231020e+02,4.091995294078238885e+02
6.891423749787477391e+02,4.068621205198458028e+02
6.784628545334539922e+02,3.999556965989576724e+02
6.654121653730750268e+02,4.000270556331867056e+02
6.517050747408200095e+02,3.972910129143875793e+02
6.419827626594782259e+02,3.962127442135034698e+02
6.406808019846747584e+02,4.018926381047996301e+02
6.366558788400134290e+02,4.035131520029982539e+02
6.334115658076485715e+02,4.002038100147208866e+02
6.306627188075444792e+02,4.031572512690956955e+02
6.268921784039455360e+02,4.014552161014538569e+02
6.222915343137608488e+02,3.959473577889663147e+02
6.171042349997067049e+02,3.939034568361432775e+02
6.095772740303486898e+02,3.634874229509149473e+02
6.039056142501773365e+02,3.429880806824425008e+02
6.004983262179138137e+02,3.367382230152405214e+02
5.998738576780069707e+02,3.448022228237159652e+02
6.008777566501084948e+02,3.604699479942227072e+02
6.024885226019903257e+02,3.791137598187468711e+02
6.019431502561096750e+02,3.710914249306867418e+02
6.019431502561096750e+02,3.710914249306867418e+02
6.048552834348788565e+02,3.678488506392542376e+02
6.007747589878649705e+02,3.730899502605786893e+02
5.916365599490891327e+02,3.808624826400844654e+02
5.808641687259422497e+02,3.941526905371038652e+02
5.708407634606097645e+02,4.041380945916416181e+02
5.644011443753488493e+02,4.125329160439791849e+02
5.641191891069825033e+02,4.100002766618872556e+02
5.620775928018560990e+02,4.115062644227703004e+02
5.590228841946845932e+02,4.117077825046501403e+02
5.567865598303203569e+02,4.144379920311272372e+02
5.556531973946738390e+02,4.165072872481277386e+02
5.553824564721046499e+02,4.218966295010902741e+02
5.552764125506820392e+02,4.236375958855838917e+02
5.564083645725579572e+02,4.257569046066067813e+02
5.564950960791151147e+02,4.270637712175848151e+02
5.563578844825931355e+02,4.262529613279442628e+02
5.563578844825931355e+02,4.262529613279442628e+02
5.563578844825931355e+02,4.262529613279442628e+02
5.563578844825931355e+02,4.262529613279442628e+02
5.563578844825931355e+02,4.262529613279442628e+02
5.563578844825931355e+02,4.262529613279442628e+02
5.563578844825931355e+02,4.262529613279442628e+02
5.577077135311220673e+02,4.287538874067514598e+02
5.561806454014049450e+02,4.251054365528585208e+02
5.513695834756908880e+02,4.180363336525659861e+02
5.453949133998221441e+02,4.070392901632906728e+02
5.396574120828095147e+02,4.009791396845391773e+02
5.350959748988751699e+02,3.953131680324789841e+02
5.343141386647295121e+02,3.933824456866051378e+02
5.317810158612262512e+02,3.868500190772985547e+02
5.291171131395235534e+02,3.839182786640724316e+02
5.278876184319160529e+02,3.789663112592272682e+02
5.280384069544097656e+02,3.814192270916204279e+02
5.290372037445879414e+02,3.799459076580099008e+02
5.308549889579187493e+02,3.765729917017515618e+02
5.313543220197448136e+02,3.717737512807639177e+02
5.317290497750682334e+02,3.704146095431265167e+02
5.317910297658307854e+02,3.684623849509257525e+02
5.316853601081058969e+02,3.694846701307200760e+02
5.324225124126870696e+02,3.612617651677232971e+02
5.313167839558152536e+02,3.735961226122184939e+02
5.291053270420716217e+02,3.982648375012088309e+02
5.265252939760374602e+02,4.270450048716975289e+02
5.243138370622939419e+02,4.517137197606878658e+02
5.232081086054221259e+02,4.640480772051830627e+02
5.253364517660367028e+02,4.541704705030384162e+02
5.233784115648193165e+02,4.571615859163875939e+02
5.185976232000366508e+02,4.615330371938397889e+02
5.141580003689389287e+02,4.650663693631785804e+02
5.106963717585875315e+02,4.701643741016859508e+02
5.088678045401186978e+02,4.706599774189495520e+02
5.101063737124678141e+02,4.625961217076425100e+02
5.088658056948010540e+02,4.539032292222423735e+02
5.063634256387010737e+02,4.443206248324971739e+02
5.049652964889561417e+02,4.365321822387040811e+02
5.041694272596681117e+02,4.356173065029797726e+02
5.038087936897845225e+02,4.366241632815855951e+02
5.040385779403939637e+02,4.369934288874375170e+02
5.040601637738477052e+02,4.369419390367379492e+02
5.040601637738477052e+02,4.369419390367379492e+02
