X, Y
1.191222443002108321e+03,3.076124036914369754e+03
1.189725795633683447e+03,3.076944326312994235e+03
1.188810384641110431e+03,3.077416670726877783e+03
1.188232525353766505e+03,3.077367021526276403e+03
1.187794228269613086e+03,3.077281752044265886e+03
1.188860267175524541e+03,3.076113328921390348e+03
1.189624156626344757e+03,3.074926494425008968e+03
1.190338802449268314e+03,3.074024585873255546e+03
1.190824161906366726e+03,3.073319681049459177e+03
1.191543544650755166e+03,3.072585865484841179e+03
1.192343086779990244e+03,3.071203316015769815e+03
1.194838186212484743e+03,3.068391667062827764e+03
1.196881374087600761e+03,3.065523791858042387e+03
1.198502378285541681e+03,3.063055732038238602e+03
1.199877402565014108e+03,3.060975805794897042e+03
1.201667234198044525e+03,3.058729037846103893e+03
1.203220345418885245e+03,3.056747007064853278e+03
1.205667645444744721e+03,3.053945865422158931e+03
1.207556650482121768e+03,3.051924478013217595e+03
1.209685372916876076e+03,3.050036144488840819e+03
1.212157569209275152e+03,3.047680660844449903e+03
1.214407279449078942e+03,3.045074817264070134e+03
1.215495831004460115e+03,3.043355444191274273e+03
1.216419505393258532e+03,3.041589655377607414e+03
1.216455535606637795e+03,3.040552790463930251e+03
1.216405765653832987e+03,3.039996841140171000e+03
1.216461211014403489e+03,3.039414090581394703e+03
1.215547979545361841e+03,3.039237856682619167e+03
1.213969424373684888e+03,3.039572682926849666e+03
1.213495141847643254e+03,3.038726839144739643e+03
1.213091410841510424e+03,3.037823951289699835e+03
1.212930358444948070e+03,3.037322109532632567e+03
1.213252393900118250e+03,3.036799972764725226e+03
1.213253625330416753e+03,3.036412985788192600e+03
1.212487529713808271e+03,3.038050743416015393e+03
1.212152689795323568e+03,3.039616713087381868e+03
1.211510021663293628e+03,3.042000906878752176e+03
1.211513115779478539e+03,3.042861680215568867e+03
1.211294512117005979e+03,3.043116129278022527e+03
1.212153702205151603e+03,3.040920604297986756e+03
1.211562314625878116e+03,3.041155272714738203e+03
1.212575824407785376e+03,3.039476257440418522e+03
1.213588671270996656e+03,3.038571205086451300e+03
1.215279623269507056e+03,3.036370998337662058e+03
1.215655045600162339e+03,3.035461502391818613e+03
1.215937801114293052e+03,3.034120237158380405e+03
1.215197839160260173e+03,3.034421995591832001e+03
1.215707245994013419e+03,3.032838762380236858e+03
1.215051659739916886e+03,3.033677331925941871e+03
1.214749451671907764e+03,3.034564396864770970e+03
1.214063940905750314e+03,3.036735606509866557e+03
1.213231656953527363e+03,3.039316721688311645e+03
1.211877267712282446e+03,3.042241213366823558e+03
1.209540290090592862e+03,3.045698746853071498e+03
1.205829982424544596e+03,3.049878166355388203e+03
1.202145683602572490e+03,3.054052642166349870e+03
1.198727715944841520e+03,3.058591051253677506e+03
1.196597184135579482e+03,3.062527156811123859e+03
1.195873315138032922e+03,3.065675799919261408e+03
1.197440344483422223e+03,3.065714687918799427e+03
1.198535125770613604e+03,3.065219791322197125e+03
1.198358666060971245e+03,3.066404227201956019e+03
1.196430724614114979e+03,3.069162682014075017e+03
1.192584832434574082e+03,3.074622844362717842e+03
1.189287346344145817e+03,3.079452347239854134e+03
1.187097835483745030e+03,3.082362434069863411e+03
1.184210683934663621e+03,3.086128568156301299e+03
1.180716220842472012e+03,3.089881518522981423e+03
1.177980698988014865e+03,3.091749048898142973e+03
1.175569144186444191e+03,3.091631035625879122e+03
1.173587858125892353e+03,3.089682105971105557e+03
1.170158810962677308e+03,3.089074664377867521e+03
1.165595496723094811e+03,3.089918641438840496e+03
1.160939380148159671e+03,3.090233204225311511e+03
1.157537844229153052e+03,3.089417369119473733e+03
1.155980859921922274e+03,3.086165228337416011e+03
1.154981646878557513e+03,3.083865515243182472e+03
1.153455636895275347e+03,3.083059057681101876e+03
1.152266663319624740e+03,3.082477749971834783e+03
1.151081530899691643e+03,3.082682844785188990e+03
1.149724892491009314e+03,3.084590555501870767e+03
1.147965870635610827e+03,3.087729940276612979e+03
1.145713861098414782e+03,3.091013142477603196e+03
1.143395172137612690e+03,3.094834538038769097e+03
1.142475653517649334e+03,3.095160888301532395e+03
1.141882857863868594e+03,3.093561898003017632e+03
1.144653291012357386e+03,3.087788325541091581e+03
1.144882402909292296e+03,3.084314976202217167e+03
1.143964333042856424e+03,3.081854963344811495e+03
1.139172139119686562e+03,3.086415799377670737e+03
1.132967196915421027e+03,3.093438341929097533e+03
1.127044086340931244e+03,3.100980059322348097e+03
1.125372141973230555e+03,3.104333115621391698e+03
1.124205760981436924e+03,3.106531739412547722e+03
1.125503431204680737e+03,3.106744885391090975e+03
1.126054570899296777e+03,3.108236915481712003e+03
1.126758214929543556e+03,3.109750744377211049e+03
1.127597903539020763e+03,3.109045761524604131e+03
1.126834432578934411e+03,3.108670243560814015e+03
1.124678280429578535e+03,3.108155505602072481e+03
1.122394580996122613e+03,3.107873217340203155e+03
1.120354144707401701e+03,3.107476005534228534e+03
1.119305809808776303e+03,3.106936055771904648e+03
1.119022464255560863e+03,3.104780961891992774e+03
1.117685426488883877e+03,3.103463745531889344e+03
1.114670254636316940e+03,3.104739365718583940e+03
1.112405177205927885e+03,3.106289277245665744e+03
1.110361960844257510e+03,3.108878605568001603e+03
1.110466733134945116e+03,3.109539375137444949e+03
1.110715267607454280e+03,3.109497702913172361e+03
1.111326528281859282e+03,3.106325446574163834e+03
1.109922154841842257e+03,3.105412842448473384e+03
1.108965713588675726e+03,3.105263552194041040e+03
1.107302200545017740e+03,3.105903098643887915e+03
1.107155172702407526e+03,3.103271195073501076e+03
1.105799147050324336e+03,3.102312068328207715e+03
