Video_Frame,Forehand_Probability,Backhand_Probability,Serve_Probability,Stroke
174,0.0594642348587513,0.939817488193512,0.0007182704866863787,Backhand
360,0.970465898513794,0.02916116639971733,0.00037303255521692336,Forehand
538,0.011607712134718895,0.987532913684845,0.0008593226666562259,Backhand
701,0.009758947417140007,0.9895938634872437,0.0006471456144936383,Backhand
