nose_x,left_eye_x,right_eye_x,left_ear_x,right_ear_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
1653.0686798095703,1653.5020904541016,1691.2079315185547,1661.3032989501953,1690.7745208740234,1649.6014862060547,1714.1781463623047,1628.7982711791992,1690.3411254882812,1637.0328826904297,1663.4703063964844,1693.808334350586,1745.816390991211,1615.7962493896484,1741.915771484375,1601.9274368286133,1774.4208068847656,726.6881408691406,720.610725402832,726.254035949707,727.9904403686523,725.3858413696289,750.9977798461914,751.8659744262695,794.8419342041016,777.0438079833984,783.5553283691406,793.5396270751953,854.313720703125,845.6317138671875,875.5846710205078,876.8869476318359,952.8545837402344,938.0951232910156
1651.724868774414,1652.9788055419922,,1660.084457397461,1691.4329071044922,1652.560806274414,1713.5858306884766,1629.9899291992188,,1634.5877075195312,1665.5181884765625,1691.8508911132812,1745.3522644042969,1617.4505462646484,1742.0084228515625,1602.8212661743164,1775.02880859375,728.3380508422852,722.0740203857422,,727.0852432250977,724.5796356201172,750.4709548950195,751.7237548828125,794.3191680908203,,788.4727478027344,793.9015502929688,850.6954498291016,846.1018218994141,876.1691436767578,877.4219665527344,953.8431091308594,939.22705078125
1653.4662322998047,1655.5601501464844,1689.9004974365234,1661.8419189453125,1689.9004974365234,1651.7910919189453,1714.6087951660156,1631.270637512207,,1637.1336135864258,1661.4231414794922,1694.9259185791016,1743.9237365722656,1618.7070922851562,1743.5049438476562,1602.7932815551758,1774.913818359375,727.507568359375,724.5764083862305,725.4138793945312,728.7637786865234,724.9951477050781,750.9568939208984,751.7943572998047,794.5056304931641,,788.2245483398438,794.0868835449219,850.6165008544922,846.0103607177734,876.9969787597656,877.4156951904297,954.4634704589844,939.3888854980469
1654.6455535888672,1655.4722747802734,1691.0216369628906,1662.4994812011719,1691.848373413086,1650.5119018554688,1714.5834350585938,1630.67041015625,1682.3409881591797,1633.5639572143555,1662.912841796875,1697.2221221923828,1745.1724395751953,1619.09619140625,1744.7590637207031,1603.388328552246,1775.3480529785156,728.7291564941406,723.3471450805664,729.1431579589844,729.5571594238281,724.1751480102539,750.2572021484375,751.0851898193359,794.1412811279297,794.5552673339844,792.0712585449219,794.5552673339844,854.9993743896484,845.4773559570312,876.1134185791016,877.7694244384766,953.945556640625,938.6275329589844
1653.3256225585938,1655.7890319824219,1691.5084533691406,1660.7158508300781,1691.9190063476562,1648.3988037109375,1714.500244140625,1631.5655136108398,1689.4555969238281,1635.260643005371,1661.5369873046875,1699.3092346191406,1745.7034301757812,1620.4801864624023,1744.4717102050781,1604.0574645996094,1774.4431762695312,728.0455856323242,721.8777236938477,721.8777236938477,727.2231979370117,723.1112976074219,751.4834365844727,751.4834365844727,795.0696258544922,777.7996063232422,788.9017639160156,793.8360443115234,855.1034240722656,847.2908020019531,877.3077087402344,877.3077087402344,952.5555725097656,937.7527160644531
1653.6768951416016,1657.0184783935547,1690.851821899414,1661.6131286621094,1690.0164337158203,1652.006118774414,1714.2427825927734,1634.0451965332031,1687.9279479980469,1635.7159881591797,1659.9423370361328,1698.7880401611328,1745.9876403808594,1621.5143356323242,1744.7345733642578,1603.9711151123047,1775.2263488769531,727.225212097168,721.7966690063477,725.9724807739258,727.225212097168,723.8845748901367,751.0272979736328,751.4448776245117,795.2908020019531,772.3238830566406,788.6095123291016,794.0380706787109,851.2465515136719,846.235595703125,877.9716796875,877.1365356445312,953.1361694335938,938.103271484375
1654.0934753417969,1656.9779052734375,1690.766845703125,1660.6864471435547,1690.766845703125,1653.2693634033203,1714.2542724609375,1634.3145751953125,1680.46533203125,1635.1387100219727,1657.3899536132812,1699.008041381836,1746.3949890136719,1622.3648376464844,1743.922607421875,1604.2341918945312,1775.6512451171875,728.711799621582,723.3509979248047,725.0004730224609,728.711799621582,724.5881042480469,750.5673980712891,750.5673980712891,791.8043518066406,797.9898986816406,788.5053863525391,790.1548767089844,852.0103302001953,847.0618591308594,878.4019775390625,873.8658905029297,952.6284790039062,939.4326477050781
1656.048355102539,1658.5060424804688,1691.6847381591797,1662.1925659179688,1691.275131225586,1652.771469116211,1714.6230926513672,1631.0619430541992,1689.6366729736328,1636.3869247436523,1660.5541076660156,1699.8769989013672,1747.3921813964844,1624.0985107421875,1746.5729217529297,1604.027458190918,1774.8362731933594,730.8074188232422,726.297981262207,724.6581802368164,728.3477172851562,725.4780807495117,751.7148056030273,750.894905090332,795.9892883300781,772.2122497558594,787.7903137207031,793.9395446777344,850.9224243164062,845.5931091308594,879.6188659667969,877.5691070556641,953.40966796875,938.2415771484375
1654.217025756836,1656.2903900146484,1691.9520263671875,1661.6810913085938,1690.7080078125,1652.9730224609375,1712.685531616211,1630.580825805664,1684.9026184082031,1638.0448913574219,1662.0957641601562,1700.6600952148438,1747.1031494140625,1623.1167678833008,1745.8591613769531,1603.6272583007812,1774.8860778808594,727.6316223144531,721.8233184814453,722.653076171875,727.2167434692383,723.4828338623047,751.2797546386719,749.620231628418,796.0867309570312,795.2569732666016,787.7891387939453,794.4272155761719,850.8507995605469,846.2871246337891,879.4774627685547,876.5733032226562,953.3259582519531,937.5605773925781
1654.1571197509766,1656.6145629882812,1691.0189056396484,1661.119888305664,1691.428482055664,1656.2049865722656,1715.183837890625,1635.726219177246,1690.6093292236328,1637.364517211914,1661.5294647216797,1702.0774230957031,1748.3594665527344,1623.848533630371,1743.4445495605469,1603.3697662353516,1774.1626892089844,728.6129684448242,723.2870330810547,722.8773498535156,728.6129684448242,725.3354721069336,751.1457748413086,752.3748321533203,795.3919982910156,773.2688903808594,790.0660705566406,790.4757537841797,851.9288482666016,843.3254241943359,879.7875823974609,873.6422882080078,955.5797119140625,936.7341003417969
1655.7413635253906,1656.9657440185547,1655.7413635253906,1661.86328125,1692.0647888183594,1655.7413635253906,1714.1037139892578,1631.6617813110352,1690.4322662353516,1639.0080871582031,1664.3120574951172,1701.85986328125,1748.3865051269531,1624.3154602050781,1744.3052368164062,1603.092788696289,1774.9148254394531,729.0064544677734,724.5153198242188,724.9236068725586,730.2313079833984,725.3318862915039,751.0538558959961,750.6455841064453,796.3735198974609,770.6515655517578,792.2906799316406,793.5155334472656,854.3500366210938,845.3677825927734,879.6637268066406,874.7642974853516,954.7882385253906,937.6402587890625
1692.0360870361328,1654.6141052246094,1689.9799499511719,1660.371337890625,1689.5687103271484,1654.202880859375,1713.4200897216797,1632.8188781738281,1684.2227172851562,1638.1648788452148,1663.6611785888672,1701.9056243896484,1748.3747100830078,1623.7718048095703,1743.8511657714844,1604.0327377319336,1775.5158996582031,716.9165496826172,722.6771850585938,717.3280258178711,727.614875793457,722.6771850585938,751.8918685913086,751.0689239501953,796.3311004638672,793.8622589111328,787.6901397705078,793.4507904052734,853.5260620117188,846.5309906005859,878.2145385742188,874.0997619628906,953.5143432617188,938.289794921875
1655.0509033203125,1656.7100219726562,1692.7957458496094,1661.6873626708984,1690.3070678710938,1655.0509033203125,1713.1199035644531,1633.8971939086914,1685.3297271728516,1638.874526977539,1664.590805053711,1701.920883178711,1747.9613037109375,1623.5277252197266,1743.8135070800781,1603.6183547973633,1774.9219055175781,729.4194564819336,723.6104278564453,724.0253524780273,729.004524230957,724.4402770996094,750.5809326171875,750.1660079956055,795.8084106445312,795.3934631347656,789.1695098876953,794.5636138916016,854.7285919189453,846.0150299072266,879.2095031738281,874.6452941894531,954.31201171875,936.469970703125
1656.5767517089844,1657.8023376464844,1692.5272674560547,1662.296142578125,1692.5272674560547,1654.942626953125,1714.5878143310547,1632.882080078125,1690.8931579589844,1637.7844314575195,1665.1558532714844,1701.514892578125,1748.4956817626953,1623.077392578125,1744.8189239501953,1603.0594940185547,1775.050048828125,732.0712890625,727.1636734008789,727.1636734008789,731.2533493041992,726.7546997070312,751.7017364501953,751.7017364501953,797.09716796875,771.7411651611328,793.4164581298828,793.825439453125,854.7616271972656,845.3553619384766,879.2996826171875,875.2100067138672,954.5497741699219,937.3731384277344
1655.4785766601562,1656.7149810791016,1691.7463684082031,1660.8363189697266,1691.334243774414,1655.0664520263672,1714.8258666992188,1635.6961517333984,1690.5099639892578,1636.9325408935547,1662.896987915039,1699.9890441894531,1747.7966003417969,1623.332130432129,1744.9116668701172,1603.9618377685547,1775.4095764160156,731.332649230957,725.9716873168945,724.322151184082,730.9202728271484,726.3840713500977,751.9517669677734,751.5393829345703,794.8395080566406,771.3337249755859,793.6023712158203,794.0147552490234,854.6349334716797,847.6244201660156,879.3778686523438,875.6664276123047,953.1943054199219,939.5856628417969
1656.6024475097656,1657.4241180419922,1692.34521484375,1661.5325012207031,1691.5235443115234,1653.3157501220703,1713.7086944580078,1632.7739486694336,1690.291030883789,1640.579833984375,1662.3541717529297,1700.151107788086,1747.808090209961,1622.0922088623047,1745.3430786132812,1604.0154037475586,1775.3341369628906,733.6641235351562,727.9092407226562,723.7986145019531,731.6088104248047,725.44287109375,752.9840850830078,749.6955871582031,795.7346496582031,771.8929901123047,759.1500473022461,789.1576385498047,854.927734375,846.29541015625,879.5915069580078,876.3030242919922,952.7607421875,938.3735046386719
1653.789535522461,1654.6265869140625,1691.4566345214844,1661.741470336914,1691.4566345214844,1652.9524841308594,1714.4754180908203,1632.8633575439453,1686.0158233642578,1637.4671173095703,1662.1600036621094,1698.571533203125,1746.7017211914062,1621.1447143554688,1745.4461517333984,1602.3111572265625,1775.9983520507812,728.1899566650391,721.9086303710938,721.9086303710938,730.2837219238281,725.2586669921875,751.6402130126953,750.8026962280273,794.3531646728516,795.6094360351562,792.6781463623047,794.7719116210938,853.8162994384766,844.6036987304688,878.5228271484375,876.0102996826172,954.3173828125,938.823486328125
1653.5875396728516,1654.8360748291016,1690.2110443115234,1660.6625518798828,1690.2110443115234,1651.5066680908203,1714.3492431640625,1634.4434509277344,1690.627212524414,1636.9405136108398,1661.494888305664,1698.5345458984375,1745.5624542236328,1619.0449447631836,1744.3139038085938,1602.814079284668,1775.5271301269531,729.2286682128906,724.6519165039062,724.6519165039062,729.2286682128906,725.067985534668,753.3606033325195,750.8642044067383,795.3834838867188,772.9158020019531,790.3906707763672,795.7995452880859,855.7133331298828,846.9759216308594,876.9328155517578,876.1006774902344,953.9053955078125,938.9269714355469
1654.0728454589844,1654.9051971435547,1691.944580078125,1660.315444946289,1691.5283966064453,1652.4081573486328,1715.250259399414,1632.4318618774414,1689.447525024414,1636.593605041504,1664.0609893798828,1699.4356842041016,1745.630844116211,1620.3628540039062,1744.3823547363281,1603.7159423828125,1776.011474609375,734.1055526733398,725.3596343994141,723.2772827148438,729.5243606567383,725.3596343994141,752.8468017578125,753.2632827758789,796.1599273681641,780.7504425048828,789.912841796875,795.7434539794922,850.3013305664062,846.1366119384766,876.95556640625,876.95556640625,952.3370361328125,939.4263916015625
1654.682388305664,1655.5086212158203,1691.8621215820312,1662.1183471679688,1692.2752380371094,1650.5513153076172,1714.9961853027344,1631.54833984375,1686.9048309326172,1638.5711822509766,1665.8363189697266,1695.1669921875,1743.9137573242188,1617.502670288086,1743.5006561279297,1602.217658996582,1774.8968811035156,731.4600372314453,726.0836486816406,731.4600372314453,730.6328964233398,726.0836486816406,752.1384506225586,752.5520172119141,795.5631103515625,795.5631103515625,787.705322265625,794.7359771728516,850.9812774658203,846.0184478759766,876.6225128173828,877.4496459960938,953.1326293945312,938.6577453613281
1652.855209350586,1653.2645721435547,1689.6976928710938,1660.2237091064453,1689.6976928710938,1652.855209350586,1714.2593536376953,1632.7965240478516,1686.8321685791016,1636.071403503418,1659.4049835205078,1693.7913055419922,1744.5520782470703,1617.2407989501953,1744.5520782470703,1602.0944366455078,1774.8447875976562,729.3020172119141,723.5656967163086,718.2391204833984,728.0727996826172,723.1559677124023,751.0180435180664,753.4764709472656,794.8598785400391,793.2209320068359,791.1722259521484,791.9917144775391,853.8619232177734,846.8964233398438,875.9877166748047,878.4461212158203,952.6084594726562,937.8579406738281
1652.7276611328125,1653.5769653320312,1690.9471435546875,1659.0975646972656,1690.0978240966797,1649.3303680419922,1714.3034973144531,1632.3439331054688,,1637.4398651123047,1664.6181640625,1693.495101928711,1744.4544219970703,1616.631477355957,1741.057144165039,1602.1930084228516,1775.8793334960938,726.5199508666992,720.5689849853516,725.6698150634766,728.6452941894531,724.8196716308594,751.5990371704102,751.5990371704102,795.3811492919922,,788.1549835205078,796.2312927246094,851.9153442382812,844.6891784667969,874.8690795898438,874.8690795898438,954.3570251464844,939.4795837402344
1653.5401000976562,1654.7976837158203,1691.6868896484375,1661.0856170654297,1691.2677001953125,1649.34814453125,1713.9042510986328,1630.9035415649414,1692.1060943603516,1637.1914749145508,1656.8936614990234,1692.1060943603516,1743.2479400634766,1614.5549087524414,1743.6671600341797,1602.3982391357422,1775.9451904296875,729.4533767700195,724.8489761352539,728.197624206543,729.4533767700195,727.360466003418,751.2196426391602,751.6382293701172,796.0079193115234,786.7991180419922,788.4734497070312,790.1477661132812,852.097900390625,847.9120788574219,874.7013397216797,878.8871612548828,952.5576171875,940.8372497558594
