,0,1
0,639.0867255197768,3642.767708846914
1,637.2771064852419,3645.111304425685
2,635.910631663286,3646.9800593473856
3,634.9873010539094,3648.37397361202
4,634.9012839093815,3648.6811755869994
5,634.7215725342965,3649.1458679683965
6,634.4725636091207,3650.30561841476
7,634.1347076568895,3652.2485363885785
8,633.7202842003314,3654.038263355808
9,633.315287876743,3656.0722588987414
10,632.8773999412517,3658.4392063156856
11,632.4075014003474,3661.18017003001
12,631.9020768823451,3664.372174402895
13,631.3571003866086,3668.1121323056063
14,630.767945254959,3672.5231178667523
15,630.1292765984604,3677.763011047963
16,629.4349231089707,3684.036574233822
17,628.6718206767681,3691.6920150025076
18,627.8383535515757,3700.66462257968
19,626.9964414910204,3711.9241723957484
20,626.0070567234305,3726.4871631362366
21,624.9227931596654,3744.6657451965834
22,623.6324029170216,3768.2719572135356
23,622.0845712286555,3798.907995326967
24,620.456957513835,3839.073671355474
25,618.8324244801038,3892.9101420807674
26,616.8029902787229,3966.7591418525153
27,614.5005820064648,4071.655296570455
28,611.9988036867825,4222.727217635964
29,609.4557856570134,4416.373923723006
30,603.1116564846632,4190.958514000206
31,642.0925307815796,11692.346621611105
32,606.3791607896014,7277.259208710453
33,555.0941061679794,591.5192934074867
34,499.953176344474,-6122.4738958955895
35,450.0145462001821,-11343.048868930806
36,413.41972595370794,-13101.073494020184
37,433.7266412289123,-5321.363113441794
38,399.3802138949576,-7423.123524569028
39,385.018702769882,-8216.341822267888
40,363.99983222886254,-9168.504050866837
41,271.2204128862602,-12138.587426281818
42,272.4576563466354,-12297.551507368753
43,-10.791339896459249,-19308.150522022836
44,-275.99377096141956,-27607.623990158707
45,-373.19549658631934,-30638.37778136503
46,102.85406666205753,-17898.84089803748
47,640.8532000669427,-3112.307606039327
48,1180.8033093700815,12167.439538725794
49,1929.1990812460638,38404.53009796547
50,454.9374256304349,-9468.43613181831
51,-322.4739669953153,-34005.94484003564
52,-312.92654339466776,-35174.218908602634
53,7.193621229141627,-25696.307203763845
54,688.9386695728765,-3961.753450811919
55,1912.3369111624665,36637.24751891535
56,1092.193890638993,10008.577365770378
57,1092.3736987677812,10089.400576465827
58,1070.296394934956,9456.798687605846
59,1053.0391956673468,8982.477182994027
60,1040.3052118398186,8657.018193724527
61,1030.9622427202855,8444.110294103099
62,1024.2142679508543,8318.249748834973
63,1019.5716050360489,8263.769622158688
64,1016.7625217390607,8271.97926552743
65,1015.6768718718878,8339.326648976908
66,1016.3397397241099,8466.514217798873
67,1018.9087260875756,8658.355960999002
68,1023.6933511406418,8924.314206930858
69,1031.2008685437347,9279.833212124347
70,1042.2198182080251,9748.798420511483
71,1057.9607053832228,10367.690690357209
72,1080.2685113732446,11191.868041245812
73,1111.7766007462926,12300.123550216565
74,1154.3161810459285,13747.715502758922
75,1200.6158763155825,15316.677288225816
76,1312.6607753520086,18842.819320068746
77,2182.5694624437747,44866.47551919055
78,3082.1679818863095,71698.94043558437
79,3694.3908165995504,90042.63606312714
80,2703.033030195285,60362.26122130944
81,1329.3580478960316,19362.538986200158
82,63.131174396154734,-18346.080411081544
83,-26.250594173641844,-20488.462820422697
84,-142.91214171303415,-26230.286705315997
85,357.59280999921225,-11394.17981879745
86,411.1067459148441,-7625.190529194291
87,3006.200443003171,83726.16493211582
88,692.827839965483,-8333.600919813063
89,-1253.099026298103,-83434.2419164407
90,-3329.9813419573275,-160425.52412168036
91,-4250.785000424037,-193281.63728473746
92,-3258.158288604419,-154545.33787332798
93,466.7372981063636,-16717.37897895605
94,-253.44976147062087,-42860.51264145965
95,48.50412337396292,-28450.78888144862
96,-83.68480909875339,-32604.755472384477
97,-1134.3084818772072,-86059.11544691684
98,-2537.9494008541806,-173796.30249323102
99,-3271.9354618676516,-234736.48628551234
100,-2995.3031788180733,-240658.5675201052
101,-1822.70646570133,-189375.45384622976
102,-300.67166659513066,-105134.79828898452
103,592.0359500909021,-45360.90502189747
104,787.8439142416022,-27262.294306851145
105,862.7739449754209,-19086.56717595877
106,909.0958792767645,-13734.536981852718
107,937.4598551570832,-10051.642034142096
108,954.3179443259826,-7449.017255373752
109,963.9408001591673,-5557.398660238508
110,968.9608309278195,-4145.361324609679
111,970.980685183477,-3065.9874823023247
112,970.9866296818875,-2223.763577772839
113,969.5955439876365,-1554.9175552827296
114,967.1987477811115,-1015.7511347076894
115,964.0463178461958,-575.5962704975988
116,960.2973657228519,-212.46207224971175
117,956.0505790439654,89.72304852686386
118,951.363061012768,342.9010237963963
119,946.262041818789,556.0716447583796
120,940.7521077761974,736.0965421989307
121,934.7891027841512,888.2614673858357
122,928.5206226438078,1016.3370856633014
123,921.6493399641712,1124.65102866516
124,914.0931407589983,1214.4801820727735
125,905.6853430212923,1288.3265413679806
126,895.5652136377108,1335.5371077393436
127,884.8104693767998,1384.4055038134643
128,878.3701315599915,1463.8720198623919
129,879.2291561764846,1567.4992849801774
130,884.7291221707615,1690.332265831194
131,892.9222525014932,1811.559974619325
132,900.0956555216546,1909.687004739369
133,905.4314033641907,2002.864659629213
134,910.6485470724762,2080.1737695040724
135,916.1637623629549,2113.748025334035
136,920.8882885041758,2111.073323271851
137,925.8546342235736,2081.351245163137
138,931.9161507979168,2051.095635885663
139,939.3424720132847,2036.7585166787544
140,946.1315328372527,2030.7233529574626
141,951.1688762873825,2025.2264099196836
142,955.1108210105004,2018.6038033001475
143,959.6182417223489,2008.0254333208813
144,968.6957430602702,1993.393965217679
145,980.7426810351408,1969.447005226033
146,992.7722289951687,1945.328856400666
147,1003.8155900035034,1934.4270628798954
148,1013.1213594872665,1929.2402647240758
149,1022.9392141850728,1928.3163728660263
150,1033.5192236109583,1932.4313314714973
151,1042.8872039063617,1935.259317569527
152,1050.4449396041596,1941.9804969910017
153,1056.9748401370578,1954.7279554652605
154,1066.0085068978372,1960.2358724073208
155,1078.453025113598,1967.7877459637825
156,1090.2342537928805,1982.3594476113153
157,1102.332501186584,1995.5704856274797
158,1113.3483785676192,2016.6047171991409
159,1121.7695443053012,2044.5495108876455
160,1131.6524666335226,2075.312955141487
161,1141.3168801946333,2113.7643543366203
162,1146.9291607924474,2157.3095255663184
163,1153.562021708252,2188.906190740986
164,1160.4240870667006,2220.8072486439755
165,1163.9425184924485,2261.526753804515
166,1168.3085481628445,2306.404810028198
167,1173.0154237301126,2355.0411532967064
168,1175.2774538093486,2404.2657016881685
169,1178.4254728199996,2450.6325521810695
170,1181.7815682964465,2500.511516602297
171,1183.4142752778648,2551.3194977961793
172,1186.2038015509381,2592.711403736288
173,1190.0265291288915,2617.0270926444323
174,1193.4274292511595,2617.2102411793066
175,1193.5417017601167,2589.113745572213
176,1192.8528074962999,2529.4658467188283
177,1192.9437037886005,2437.1079749435353
178,1193.6585835214237,2313.668140825006
179,1196.986140961389,2169.626801869336
180,1200.569511680286,2020.5975339637039
181,1200.146577311179,1863.586206130782
182,1199.9943164585225,1699.315957427018
183,1203.0608860505251,1511.633966466607
184,1203.8709638727041,1310.6634544740286
185,1205.3476257979137,1097.4807954186967
186,1208.4543250666707,844.741713791802
187,1212.1764486329519,549.8081446829821
188,1214.109191945486,251.75801883799073
189,1213.9126627558767,-23.863080505577678
190,1208.5892929021607,-303.0809125645169
191,1186.7226794318576,-511.03165186695566
192,1165.137030700478,-743.398334762785
193,1139.6446727945386,-973.6595246801099
194,1116.6098323958038,-1211.1442569092114
195,1094.6549850388947,-1473.1638982250856
196,1072.1534714940572,-1706.5723707865977
197,1042.4933813715134,-1841.127717562493
198,1021.6425754876161,-2010.5101066450948
199,992.9636792854498,-2149.1834848872163
200,967.6689313186555,-2369.5142203025143
201,941.4995963666807,-2578.7468421453377
202,908.3764481166897,-2651.439946472044
203,868.8142425381842,-2730.6900178365136
204,828.3482608293997,-2848.099135102386
205,784.6729583385593,-2938.184718632193
206,751.2159758258887,-2980.1132412725165
207,733.5375777166064,-2870.635854729305
208,726.862511655013,-2647.8634679154875
209,722.9201080058006,-2456.314931129539
210,718.1461052544565,-2317.549349190721
211,710.8385263109378,-2255.2859615776865
212,700.476332106978,-2217.0651111183415
213,690.52472486511,-2216.5213182617576
214,677.6977397555038,-2243.3214279060376
215,665.2563269549046,-2254.652181223498
216,651.372303290369,-2244.0898627218858
217,637.1914301341494,-2210.071561294214
218,622.0503396262488,-2124.8218605966667
219,607.3202515408677,-1980.394342929381
220,593.3447415025739,-1769.6630552137042
221,581.5596180244802,-1490.0249767200653
222,573.0054842590823,-1135.808785783189
223,564.7934143718385,-829.8475247230832
224,558.0247837470065,-570.0203131525247
225,554.5877297382876,-368.6327836186559
226,552.1833781747182,-276.7185183850737
227,545.5531394040539,-274.17097585298677
228,537.3107405800171,-271.1922868252415
229,528.7383408695343,-269.1985537033687
230,525.2709005400731,-184.77230995497263
231,530.8200971792426,-18.65726101317817
232,540.9985989230281,143.4077106533622
233,550.4795798823133,265.643647440438
234,552.0056037016215,353.05101193425514
235,556.5266884658985,423.286605778207
236,561.9593678864276,505.41585788179174
237,564.4594581366493,601.4186550340851
238,564.0235049705063,694.5791436388271
239,559.8944133677327,768.5716819615425
240,548.6970242638611,808.3060940316118
241,541.567363128506,802.6835805243389
242,536.0535112708473,772.1966130881601
243,530.1561346699314,726.6797943924346
244,524.4253660191744,669.054713840252
245,518.5609777314036,603.5461997020325
246,512.0477437369408,532.888064683594
247,505.9664371719135,462.2382908446573
248,500.04158980087107,391.0321706770169
249,493.367219239419,316.42352948606276
250,487.70383326919904,243.7398315988636
251,481.1047088987964,167.8223548759124
252,474.79620820484917,91.98651619176616
253,468.53457537881746,14.089323225133796
254,462.00789150089423,-65.45276894599161
255,455.8424290634952,-145.19531537235122
256,450.76792408446397,-221.28418826057413
257,445.0982991774632,-299.82357986369453
258,439.32809292574984,-380.49312979360707
259,432.31718185809234,-466.0113358877394
260,425.74672406990993,-549.1824668915265
261,420.49970686517884,-629.2344079942959
262,415.0054475459852,-711.226260181947
263,409.72413704553446,-794.4489468724458
264,403.44396843801195,-881.0168057043114
265,398.5834885674727,-960.5966507248118
266,395.02491210323046,-1035.006914714211
267,390.5918442864322,-1113.0337469513534
268,386.31909394548984,-1190.942995199741
269,382.42228823088954,-1268.4120450186392
270,377.2817184179301,-1350.582573410577
271,373.762493696932,-1425.4898774446308
272,371.35952605309956,-1495.6113914343086
273,368.59499465086276,-1566.4294789711853
274,365.7087456974389,-1637.356796900187
275,363.7339048879759,-1709.6209239599586
276,362.65807138654026,-1764.4268814651796
277,365.72624267431956,-1790.6057779710684
278,369.41326024661464,-1811.4969034113217
279,374.01612648324283,-1828.5172122208987
280,375.9180436744541,-1854.18437795391
281,376.4662825231336,-1900.5146268253166
282,377.8877190426143,-1937.487346832766
283,379.3537779083143,-1974.5260030747995
284,380.79360141676034,-2012.0014674596734
285,382.61953271951324,-2049.059546816986
286,383.87805108905604,-2082.219285132561
287,386.1860818646069,-2108.607625534624
288,391.1170512582012,-2125.126379513443
289,394.6761264660404,-2145.555381694078
290,400.50709250371494,-2150.28304063585
291,405.67544577101245,-2161.715584378286
292,410.1511919639019,-2180.0599536568143
293,414.7073126725295,-2185.865047464037
294,419.25190997093966,-2184.063792338438
295,422.3092250291175,-2180.33822191112
296,436.79781714560204,-2188.2397566150457
297,470.0406132797117,-2201.9924243676064
298,474.11915178764167,-2026.3410937483934
299,468.85464064211345,-1746.7530569507583
300,454.2470798431269,-1363.2283139746992
